driver_id,name,phone,vehicle_type,rating,start_date,avg_deliveries_per_week,status
b62afed4-f84c-4acb-b6c2-de5ebc51d1e4,Anthony French,5613387829,Motorcycle,3.5,2020-11-05 06:31:13,31,Active
610364e3-8425-4fbf-a354-709d8315eacc,Charles Valdez,390.332.0204x1792,Motorcycle,4.0,2022-01-31 20:44:50,12,Active
2a4ebe68-a3cb-426e-b607-411b5378d46d,Kurt Gilbert,436-756-5198,Bicycle,4.9,2020-04-25 14:49:25,14,Active
c8b3d2f8-71e7-4d95-8656-2d9261747a1f,Rebecca Duran,001-725-411-4262,Car,4.8,2021-05-28 18:53:00,17,New
37c2ff16-a17b-4e63-83fa-b510d4d8431c,Timothy Williams,496-320-7100,Motorcycle,3.8,2022-06-27 13:47:02,22,Active
b67f1743-f6ee-4af1-8802-28e719a2cf7c,Linda Campbell,001-272-432-4876x329,Motorcycle,4.0,2021-03-03 21:24:43,29,On leave
78aa1e49-7ab2-47e5-b1e8-fb3eeb6848e1,Lisa Miller,556-908-3318x1958,Car,4.5,2023-01-31 22:07:16,40,Active
0f4d0f51-7045-4aa6-82fa-79da0fb7783b,Mary Hill,712.677.2200,Car,4.8,2023-09-28 12:07:15,50,Active
a318f25a-52d3-4389-b667-4285e4d3bba3,David Jensen,001-970-710-8220x78113,Car,4.6,2023-04-13 09:25:50,25,Active
5ec8ef0b-6e49-4977-844a-f1c3add5ff6d,Paul Villanueva,515.331.3636,Car,4.6,2022-09-01 10:23:49,15,Active
8aeca935-dbc6-46b6-9f16-b489e0bd8e62,John Zamora,(539)772-6527,Car,4.4,2021-11-25 07:03:22,19,Inactive
60dfda32-b710-438a-b21d-571ba0aca2fb,Christina Martinez,001-690-442-1776x253,Motorcycle,3.3,2021-04-22 16:35:50,32,Inactive
adf7e813-6a22-4163-a339-39f62746811a,Margaret Carr,(998)931-6873,Car,3.4,2023-11-13 18:22:46,18,Active
df686d13-e9ac-4ba3-b385-e8b6970738e5,Nicholas Fitzgerald,235.869.3929,Car,4.4,2023-02-19 15:34:44,41,Active
f6f7964d-ec49-40e6-a124-06fdf99fb4d8,Amanda Ruiz,001-880-568-6717x73180,Car,3.7,2022-08-18 14:55:53,48,On leave
bf54293d-5213-4ab6-a383-797a21fa3948,Edward Holland,907-942-7990,Car,3.1,2020-11-14 20:18:52,26,Active
e710ea24-840f-486c-a22c-46862097fec6,Shelly Sullivan,(570)316-5804x649,Car,4.6,2022-11-03 18:46:11,11,Active
b1cfd632-a285-4d6f-a84a-f47bf03c776e,Gabriela Randolph,550.416.5790x55281,Car,4.2,2021-10-19 08:42:34,34,Active
2f073a32-569d-48e8-9736-3878d9d3b856,Mrs. Ashley Mendoza,001-993-935-5486x40155,Motorcycle,4.5,2020-11-12 15:20:26,30,Active
4e812acd-83e6-4a2c-b4d3-e957a4931495,Sandra Harrison,+1-384-379-5137,Car,3.1,2020-09-23 11:55:02,22,Active
34be4831-6df4-4583-9168-4ff1e6068f60,Christopher Mullen,212-641-2723,Car,3.1,2023-08-08 18:42:31,43,Active
cdcd071a-b631-4a2b-abcb-0fddc958d4d6,Michael Huynh,756.770.4310x3856,Car,3.1,2021-03-29 08:00:59,23,Active
1c258a67-179b-48f1-af92-9f972a747fa5,Mr. Joseph Kelley,449.724.2437x540,Scooter,4.7,2022-08-17 07:23:35,36,Inactive
10e5377f-5a6b-449e-b976-3a59b50f171c,Tyler Montgomery,(284)722-2231,Motorcycle,3.1,2023-06-18 14:33:02,14,Inactive
4de0821b-b748-4c89-978f-0e2fa11883c6,Jessica Wood,480.655.2578,Car,3.4,2022-11-30 09:06:46,24,Active
78d78d68-3f03-4c4a-95a8-b9d1d74dcbe8,Alexander Velazquez,001-927-752-0885x47492,Car,4.1,2021-05-25 11:35:47,45,Active
b6e17c99-7e7b-4307-9407-e19be0e70287,Monique Mccullough,(781)340-6937,Car,4.3,2022-01-04 20:44:42,37,On leave
74769f2b-a678-4553-ac29-e1e6ba618c92,Lee Lee,234.730.1871x86375,Car,3.4,2022-04-03 22:21:42,20,Active
42cc0c3d-7a6d-4cd7-80e2-c8b890295cb7,Mike Patterson,(950)645-5478x1376,Car,4.9,2021-10-08 23:20:54,33,Active
872e5455-2550-44df-803f-f8f2f8128ccd,Nicholas Hurst,001-862-399-1234x7851,Motorcycle,4.7,2021-10-25 13:36:34,23,Active
b79be1f4-a4d3-4b0b-9e65-151e9059c986,Mark Nelson,(987)292-3264,Car,4.5,2022-01-08 20:28:25,10,Inactive
154f69d7-d30c-4bcd-839d-7d4c62de5d2b,Elizabeth Richards,487.930.0244x7146,On foot,4.2,2022-11-27 10:56:19,10,Active
a255beb3-838c-4ef0-b9f4-e1e4201788b4,Maria Johnson,001-247-619-5979x64715,Car,4.7,2020-02-15 14:58:35,42,Active
e15ee16b-f0cc-4372-a604-a4782760b30f,Anthony Flores,001-325-520-4565x044,Scooter,3.3,2020-03-19 20:22:09,18,Active
a4485652-07f4-44e9-8485-c8f24cde2259,Catherine Davis,001-428-655-4451x89520,Bicycle,3.5,2021-06-09 15:05:36,35,Active
ade89a9c-a9b8-41e5-87ee-f2998d18adf2,John Peterson,(313)828-3389,Car,3.2,2021-10-27 21:11:31,46,Inactive
6ff233ab-0431-48f2-b1b9-8005a138d5bc,Billy Fuentes,7754452798,Car,4.3,2020-03-18 18:05:49,13,On leave
dfda3c5e-9f40-4c99-9d08-eb78e962cbbf,Alyssa Olsen,822.334.2321,Car,4.8,2022-06-09 19:59:55,17,On leave
62eaa968-f2f4-4004-8fa1-4b3005ea00bb,Raymond Todd,6312089071,Car,4.3,2023-05-19 06:40:49,50,Active
553349a4-943c-4730-9f42-e4b540298726,Michael Webster,493-693-2501,Car,3.1,2023-01-11 10:20:32,24,Active
acb3c766-0f46-49e7-ae22-b1193db7ccab,Hannah Martin,293.389.1190x83342,Motorcycle,5.0,2022-07-02 22:05:14,37,Active
c60ccd68-d8df-4e37-8d11-09f0c6c54a0b,Tami York,859.327.1256x6383,Car,3.3,2020-06-19 21:36:47,13,Active
b39334cb-82d6-4ecc-8b86-fe64fe266d2c,Emily Owens,627.954.8015x71647,Car,3.8,2022-06-09 10:48:08,40,Active
c12d98c5-db0f-47f3-98c5-7dcf32f30399,Jason Mercer,(431)875-2071x67811,Car,4.3,2021-02-06 23:39:47,43,Active
612cd017-f02c-40f0-be4f-c53c3cf204ce,Kevin Garcia,(515)835-3961,Car,4.6,2021-10-25 08:07:42,36,Active
37bb5eae-a205-4431-a104-b369b6e336e8,Diana Reeves,001-694-465-7967,Car,3.6,2023-05-02 06:49:19,20,New
ea3ddac2-b762-444c-a02b-84c4b28af2ab,Ashley King,432.601.0170x2695,Motorcycle,5.0,2022-06-25 10:28:02,24,Active
f3ea13a9-b3fc-4974-a65c-514f79566dd7,Anne Jones,001-287-273-4778x48588,Car,4.5,2020-06-25 09:47:03,25,On leave
39cb4658-de28-40b7-9461-0aa1c486348a,Sheryl Wilson MD,(877)900-2842x7624,Scooter,4.7,2021-08-13 06:21:44,17,Active
c6d38064-4711-4cef-a980-55bd3b8c8930,Laura Henry,+1-889-677-8280,Car,3.7,2023-01-07 12:13:34,43,Inactive
2ceddcca-94f2-4da5-a472-0524e31a402f,Wesley Jensen MD,350-809-0255x9056,Car,4.2,2020-10-17 06:24:37,43,Active
8b31e085-e046-4248-8a31-9600ba753678,Hunter Bell,+1-733-234-9114x15208,Car,3.6,2023-11-28 14:03:29,10,Active
